Method,Dataset,Threshold,F1,Precision,Recall,Accuracy,Time (s),Cost ($)
Jaro-Winkler,Original,0.8000000000000003,0.0843558282208589,0.26570048309178745,0.05013673655423884,0.9989885230403269,693.6877679824829,0.0
Jaro-Winkler,Ciphered,0.8000000000000003,0.0843558282208589,0.26570048309178745,0.05013673655423884,0.9989885230403269,693.1122388839722,0.0
Jaro-Winkler,Scrambled,0.5,0.03948576675849403,0.039777983348751156,0.03919781221513218,0.9982277974877419,693.5040979385376,0.0
Levenshtein,Original,0.5,0.005454545454545454,1.0,0.0027347310847766638,0.9990732363535324,2472.064300060272,0.0
Levenshtein,Ciphered,0.5,0.005454545454545454,1.0,0.0027347310847766638,0.9990732363535324,2479.5147697925568,0.0
Levenshtein,Scrambled,0.0,0.12029384756657484,0.1211840888066605,0.11941659070191431,0.9983768929189836,2480.2212307453156,0.0
Monge-Elkan,Original,0.7500000000000002,0.37733644859813076,0.5252032520325203,0.2944393801276208,0.99909695608123,4020.742767095566,0.0
Monge-Elkan,Ciphered,0.7500000000000002,0.37733644859813076,0.5252032520325203,0.2944393801276208,0.99909695608123,4041.343048095703,0.0
Monge-Elkan,Scrambled,0.7000000000000002,0.3349657198824682,0.3619047619047619,0.31175934366453967,0.99884959320667,6161.11957192421,0.0
Soft-TFIDF,Original,0.5,0.2599388379204893,0.8056872037914692,0.15496809480401094,0.9991799751281712,17361.75821995735,0.0
Soft-TFIDF,Ciphered,0.5,0.2599388379204893,0.8056872037914692,0.15496809480401094,0.9991799751281712,8559.637273073196,0.0
Soft-TFIDF,Scrambled,0.5,0.03389830508474576,0.7916666666666666,0.01731996353691887,0.999082554817985,7263.9939069747925,0.0
TF-IDF,Original,0.5,0.5276872964169381,0.9246575342465754,0.3691886964448496,0.9993858284792605,0.9007217884063721,0.0
TF-IDF,Ciphered,0.5,0.5276872964169381,0.9246575342465754,0.3691886964448496,0.9993858284792605,0.5844540596008301,0.0
TF-IDF,Scrambled,0.5,0.02164111812443643,1.0,0.010938924339106655,0.9990808605517209,0.6628861427307129,0.0
SentenceTransformer,Original,0.55,0.6233287229137852,0.6305970149253731,0.6162260711030082,0.9993078922311115,48.07325005531311,0.0
SentenceTransformer,Ciphered,0.7500000000000002,0.16300000000000003,0.1805094130675526,0.14858705560619873,0.9985818991369407,215.38032603263855,0.0
SentenceTransformer,Scrambled,0.55,0.26280193236714977,0.2795477903391572,0.2479489516864175,0.9987072748404848,985.5622792243958,0.0
OpenAI-Embedding,Original,0.5,0.7928341754708313,0.799074074074074,0.7866909753874203,0.9996179429574434,545.810204744339,0.043460000000000006
OpenAI-Embedding,Ciphered,0.7500000000000002,0.40527803958529685,0.4195121951219512,0.3919781221513218,0.9989309179873472,169.69043803215027,0.043460000000000006
OpenAI-Embedding,Scrambled,0.5,0.48367816091954025,0.48794063079777367,0.479489516864175,0.9990486694927028,185.10266089439392,0.043460000000000006
LLM-GPT4o-mini,Original,N/A,0.2204020848845867,0.6016260162601627,0.1349134001823154,0.9991130516107389,826.565337896347,0.07349235000000004
LLM-GPT4o-mini,Ciphered,N/A,0.17701290719114937,0.27169811320754716,0.13126709206927986,0.998865688736179,889.3205301761627,0.12104264999999988
LLM-GPT4o-mini,Scrambled,N/A,0.15153681200857755,0.3509933774834437,0.09662716499544212,0.9989944529722513,844.4088468551636,0.10157640000000008
